ภาค,จังหวัด,รายการ,รายการย่อย,ประเภทผู้เยี่ยมเยือน,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565
,,,จำนวนนักทัศนาจร,รวม,"  167,012 ","  314,626 ","  337,982 ","  375,880 ","  451,573 ","  463,223 ","  497,837 ","  530,835 ","  535,996 ","  287,867 ","  208,882 ","  540,364 "
,,,,ชาวไทย,"  166,874 ","  296,045 ","  317,698 ","  352,939 ","  423,504 ","  434,782 ","  467,356 ","  499,034 ","  504,811 ","  279,520 ","  208,596 ","  539,897 "
,,,,ชาวต่างประเทศ,  138 ,"  18,581 ","  20,284 ","  22,941 ","  28,069 ","  28,441 ","  30,481 ","  31,801 ","  31,185 ","  8,347 ",  286 ,  467 
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,  353.64 ,  506.58 ,  583.93 ,  659.55 ,  818.36 ,  847.27 ,  920.84 ,  993.54 ,"  1,013.52 ",  436.20 ,  245.58 ,  687.01 
,,,,ชาวไทย,  353.09 ,  489.08 ,  565.31 ,  638.22 ,  790.74 ,  818.43 ,  888.05 ,  957.48 ,  977.90 ,  426.95 ,  245.25 ,  685.81 
,,,,ชาวต่างประเทศ,  0.55 ,  17.50 ,  18.62 ,  21.33 ,  27.62 ,  28.84 ,  32.79 ,  36.06 ,  35.62 ,  9.25 ,  0.33 ,  1.20 
,ลพบุรี,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  1,485,662 ","  2,787,525 ","  2,802,940 ","  2,929,199 ","  3,073,952 ","  3,165,905 ","  3,355,619 ","  3,454,627 ","  3,531,853 ","  1,622,264 ","  950,852 ","  4,017,045 "
,,,,ชาวไทย,"  1,477,598 ","  2,774,148 ","  2,787,866 ","  2,914,619 ","  3,055,623 ","  3,146,868 ","  3,335,355 ","  3,434,056 ","  3,509,894 ","  1,616,860 ","  949,966 ","  4,010,355 "
,,,,ชาวต่างประเทศ,"  8,064 ","  13,377 ","  15,074 ","  14,580 ","  18,329 ","  19,037 ","  20,264 ","  20,571 ","  21,959 ","  5,404 ",  886 ,"  6,690 "
,,,จำนวนนักท่องเที่ยว,รวม,"  338,065 ","  972,729 ","  1,017,407 ","  1,032,521 ","  1,086,428 ","  1,107,319 ","  1,157,011 ","  1,115,751 ","  1,157,980 ","  519,524 ","  376,970 ","  1,061,284 "
,,,,ชาวไทย,"  333,161 ","  966,110 ","  1,010,038 ","  1,025,505 ","  1,078,379 ","  1,098,904 ","  1,148,049 ","  1,107,250 ","  1,148,413 ","  516,846 ","  376,696 ","  1,059,529 "
,,,,ชาวต่างประเทศ,"  4,904 ","  6,619 ","  7,369 ","  7,016 ","  8,049 ","  8,415 ","  8,962 ","  8,501 ","  9,567 ","  2,678 ",  274 ,"  1,755 "
,,,จำนวนนักทัศนาจร,รวม,"  1,147,597 ","  1,814,796 ","  1,785,533 ","  1,896,678 ","  1,987,524 ","  2,058,586 ","  2,198,608 ","  2,338,876 ","  2,373,873 ","  1,102,740 ","  573,882 ","  2,955,761 "
,,,,ชาวไทย,"  1,144,437 ","  1,808,038 ","  1,777,828 ","  1,889,114 ","  1,977,244 ","  2,047,964 ","  2,187,306 ","  2,326,806 ","  2,361,481 ","  1,100,014 ","  573,270 ","  2,950,826 "
